movieId	type
tt1579229	Biography
tt1052734	Drama
tt1255604	Documentary
tt0157764	Adventure
tt1495528	Family
tt1495528	Game-Show
tt7036964	Drama
tt7036964	Romance
tt0351891	Comedy
tt0351891	Short
tt1523711	Music
tt0667702	Comedy
tt0667702	Family
tt7129756	Comedy
tt0745717	Drama
tt1435231	Adventure
tt1435231	Comedy
tt1435231	Drama
tt2116964	Adult
tt2116964	Comedy
tt2116964	Romance
tt1469479	Music
tt4727516	Drama
tt0260035	\N
tt2621572	Reality-TV
tt0716254	Comedy
tt0716254	Music
tt0716254	Talk-Show
tt6255480	Documentary
tt6255480	Music
tt6255480	Short
tt2927500	Drama
tt2927500	Romance
tt9226766	\N
tt1679241	Drama
tt1679241	Fantasy
tt1679241	Mystery
tt1260535	Animation
tt1260535	Family
tt2282593	Comedy
tt4149860	Drama
tt4149860	Romance
tt1715415	Animation
tt1715415	Family
tt7121242	Drama
tt6969818	Comedy
tt1589141	Drama
tt0911677	Comedy
tt4950746	\N
tt0847740	Comedy
tt0847740	Short
tt2908096	Comedy
tt1350000	Reality-TV
tt6690162	Comedy
tt0118257	Drama
tt1674723	Short
tt1674723	Thriller
tt0211356	Drama
tt0211356	Short
tt8710982	\N
tt0700447	\N
tt0682157	News
tt2248763	Fantasy
tt2248763	Short
tt2741314	News
tt5480854	Drama
tt5480854	Short
tt8093380	Crime
tt8093380	Documentary
tt3101796	Comedy
tt4645634	Sport
tt6758260	Comedy
tt6758260	Short
tt0319872	\N
tt0652277	Crime
tt0652277	Drama
tt0652277	Reality-TV
tt3794832	Comedy
tt0128178	Adult
tt0451945	Documentary
tt0451945	Music
tt8713826	Comedy
tt8713826	Family
tt3431182	Drama
tt3431182	Romance
tt7706446	Drama
tt7706446	Short
tt2216331	\N
tt2114782	Reality-TV
tt0278833	Comedy
tt3658014	Action
tt3658014	Adventure
tt3658014	Drama
tt0288188	Action
tt0288188	Crime
tt0288188	Drama
tt2228285	Documentary
tt2228285	Family
tt2228285	News
tt4427184	Action
tt4427184	Drama
tt4427184	History
tt5060342	Comedy
tt0209411	Comedy
tt0209411	Short
tt3317496	Game-Show
tt5139002	Drama
tt5139002	Short
tt8445634	Comedy
tt8445634	Family
tt8445634	News
tt8681300	Talk-Show
tt2088079	Drama
tt4098612	Biography
tt4098612	Drama
tt4098612	Romance
tt4284134	Comedy
tt4284134	Drama
tt4284134	Music
tt1763075	Action
tt1763075	Animation
tt1763075	Comedy
tt0149735	\N
tt1859834	Talk-Show
tt2098204	Comedy
tt0580595	Drama
tt2028257	Family
tt2028257	Game-Show
tt0174612	\N
tt3361474	Drama
tt3361474	Short
tt3949502	Drama
tt0129127	Documentary
tt2285202	News
tt2285202	Talk-Show
tt4400702	Comedy
tt4400702	Family
tt4400702	Game-Show
tt5316412	Comedy
tt0197744	Short
tt7812586	Adult
tt2043567	\N
tt0901771	Comedy
tt0901771	Drama
tt0901771	Family
tt2894872	News
tt8525218	Animation
tt8525218	Comedy
tt8525218	Family
tt5141070	Adult
tt4404414	Drama
tt4404414	Romance
tt0059039	Adventure
tt0059039	Comedy
tt0059039	Family
tt2748188	Music
tt4428030	Action
tt7416810	Drama
