tconst	averageRating	numVotes
tt0092268	5.9	517
tt0092307	6.0	84
tt0092316	6.3	494
tt0092497	7.7	1415
tt0092518	8.3	70
tt0092676	4.4	491
tt0092713	7.3	826
tt0092929	7.3	7048
tt0093014	6.3	17
tt0093049	4.9	128
tt0093270	5.0	167
tt0093296	4.2	237
tt0093368	7.1	154
tt0093380	8.2	60
tt0093425	7.3	158
tt0093460	6.1	237
tt0093603	8.8	11783
tt0093649	6.3	895
tt0093737	5.2	5704
tt0093861	4.5	43
tt0094105	7.2	821
tt0094830	7.0	36
tt0094957	4.1	294
tt0094998	4.7	414
tt0095096	6.5	8
tt0095097	7.0	90
tt0095274	6.8	1559
tt0095320	6.6	75
tt0095773	7.0	279
tt0096359	5.8	66
tt0096435	5.3	125
tt0096603	8.0	14
tt0096690	6.2	40
tt0097059	3.6	407
tt0097101	6.1	42
tt0097309	5.1	16
tt0097358	5.7	65
tt0097376	6.3	364
tt0097406	6.6	129
tt0097533	6.1	90
tt0097602	7.7	23
tt0098116	6.8	123
tt0098154	4.8	46
tt0098250	6.8	62
tt0098404	3.3	287
tt0098469	5.6	358
tt0098481	7.9	3710
tt0098625	6.1	19282
tt0098652	4.6	26
tt0098999	7.7	7042
tt0099105	5.7	7
tt0099380	4.8	76
tt0099631	6.4	18
tt0099777	4.7	19
tt0099790	5.1	233
tt0100050	4.5	40543
tt0100059	6.2	55
tt0100081	6.0	17
tt0100302	5.8	34
tt0100338	5.5	55
tt0100352	7.1	245
tt0100369	6.2	3484
tt0100669	5.7	90
tt0100703	7.5	26
tt0100786	5.6	224
tt0100820	6.7	69
tt0100858	7.0	9
tt0101527	6.2	5
tt0101698	7.3	15069
tt0101744	3.6	662
tt0101781	5.3	31
tt0101971	7.4	81
tt0102067	4.2	1641
tt0102418	7.0	23
tt0102817	7.3	1504
tt0102874	6.6	9
tt0102889	6.5	87
tt0103569	5.3	9412
tt0103577	6.5	20
tt0103756	4.7	7
tt0103814	7.6	7
tt0103842	5.7	31
tt0104485	5.4	220
tt0104947	7.5	6
tt0105022	4.4	113
tt0105129	4.7	13
tt0105222	6.6	117
tt0105238	7.5	15
tt0105271	8.2	9342
tt0105272	6.1	25
tt0105274	5.6	9
tt0105276	7.2	638
tt0105312	6.8	135
tt0105488	7.2	22590
tt0105695	8.2	325507
tt0106054	7.1	27
tt0106162	6.0	43
tt0106169	6.2	5
tt0106203	6.0	334
tt0106290	7.6	592
tt0106362	5.2	248
tt0106412	2.8	573
tt0106434	5.6	316
tt0106531	6.1	86
tt0106774	6.0	110
tt0107156	7.7	12237
tt0107186	5.3	34
tt0107327	6.5	66
tt0107428	6.4	372
tt0107460	5.9	114
tt0107480	6.6	139
tt0107755	6.2	217
tt0107759	7.0	22
tt0107893	6.5	56
tt0107929	7.5	114
tt0108046	8.8	11
tt0108211	7.5	26910
tt0108221	5.7	102
tt0108301	5.6	23
tt0108363	4.6	21
tt0108620	5.5	103
tt0108672	6.6	73
tt0108729	8.1	157
tt0108791	8.3	17
tt0108818	6.5	36
tt0108854	8.1	52
tt0108984	6.0	136
tt0109063	6.5	6
tt0109265	6.8	138
tt0109483	6.5	86
tt0109630	4.3	221
tt0109744	5.5	631
tt0109765	5.2	665
tt0109821	7.1	81
tt0109902	7.9	37
tt0110055	5.5	26
tt0110060	3.7	314
tt0110070	5.5	42
tt0110126	5.3	79
tt0110282	7.6	7
tt0110311	6.0	193
tt0110313	4.9	321
tt0110449	7.6	318
tt0110491	7.6	31
tt0110571	4.5	6
tt0110674	7.0	15
tt0110758	9.3	4080
tt0110935	6.8	35
tt0111077	7.7	353
tt0111117	6.6	11
tt0111152	4.8	10
tt0111762	5.7	39
tt0112055	6.8	56
tt0112104	8.4	1498
tt0112143	5.9	8
tt0112174	8.2	1598
tt0112199	8.2	20
tt0112287	3.9	105
tt0112561	6.2	30
tt0112568	5.1	253
tt0112659	7.3	82
tt0112762	3.9	480
tt0112839	4.8	312
tt0112919	7.9	115
tt0113182	3.8	6
tt0113439	5.5	12
tt0113528	5.1	45
tt0113575	4.3	109
tt0113682	5.4	3669
tt0113712	5.0	8
tt0113752	5.9	326
tt0113783	4.7	169
tt0113788	5.7	74
tt0114434	8.3	9
tt0114449	5.1	241
tt0114611	4.7	169
tt0114799	6.4	5
tt0114825	4.5	19169
tt0114871	5.5	6
tt0115137	5.7	2187
tt0115640	7.6	20707
tt0115723	4.6	126
tt0115793	6.8	282
tt0116249	8.8	8
tt0116293	5.5	2109
tt0116299	2.6	772
tt0116370	5.4	5
tt0116383	6.2	39
tt0117228	7.3	7
tt0117280	5.8	109
tt0117396	3.0	294
tt0117470	5.1	86
tt0117546	5.7	148
tt0117711	3.6	123
tt0117735	7.2	94
tt0117740	6.9	196
tt0117919	7.4	9
tt0118077	6.8	12
tt0118110	5.9	103
tt0118240	8.4	13
tt0118358	8.3	439
tt0118868	2.0	326
tt0119372	5.9	145
tt0119601	7.9	89
tt0119800	6.9	21
tt0120030	7.4	39
tt0120051	7.1	2194
tt0120108	6.3	1940
tt0120222	5.6	196
tt0120624	6.7	149
tt0120933	6.8	6
tt0121313	3.1	12
tt0121344	6.9	9
tt0121470	7.5	11
tt0121699	6.0	20
tt0121841	7.0	101
tt0121858	6.2	15
tt0121974	3.1	570
tt0122234	8.3	2082
tt0122433	3.9	28
tt0122612	7.1	121
tt0122815	6.4	392
tt0122975	6.7	27
tt0123063	7.1	81
