tconst	ordering	nconst	category	job	characters
tt0018467	10	nm0806086	writer	"novel ""Am Teetisch, Lustspiel in drei Akten"""	\N
tt0018467	9	nm0628339	writer	titles	\N
tt0018609	2	nm0024215	actress	\N	\N
tt0018609	3	nm0037446	actress	\N	\N
tt0018609	5	nm0307321	director	\N	\N
tt0018609	6	nm0935806	director	\N	\N
tt0018609	7	nm0317763	cinematographer	\N	\N
tt0019481	6	nm0106176	writer	titles	\N
tt0019556	3	nm0643004	actress	\N	"[""Mrs. Hardy""]"
tt0019556	4	nm0283170	actress	\N	"[""Mrs. Laurel""]"
tt0019574	1	nm0089524	actor	\N	"[""Dr. Matthew Lloyd""]"
tt0019574	4	nm0124196	actress	\N	"[""Lucy""]"
tt0019574	7	nm0639555	writer	famous novel	\N
tt0019574	8	nm0236479	writer	compiled by	\N
tt0019685	2	nm0941655	actress	\N	"[""Claire Byron""]"
tt0019685	6	nm0042601	writer	titles	\N
tt0019685	9	nm0413607	cinematographer	\N	\N
tt0019756	2	nm0499151	actor	\N	"[""Ulysse Hiacinther""]"
tt0019853	3	nm0445445	actor	\N	"[""Shmulikel""]"
tt0019853	4	nm0505881	actress	\N	\N
tt0019853	6	nm0169606	producer	producer	\N
tt0019856	5	nm0136888	director	\N	\N
tt0019856	7	nm0519303	writer	"poem ""Evangeline"""	\N
tt0020044	1	nm0035964	actress	\N	"[""Die Dirne"",""The Prostitute""]"
tt0020044	5	nm0594177	director	\N	\N
tt0020044	6	nm0246859	writer	writer	\N
tt0020044	8	nm1928578	producer	producer	\N
tt0020409	6	nm0203753	writer	play	\N
tt0020409	9	nm0628339	writer	titles	\N
tt0020476	2	nm2416779	actress	\N	"[""Somekichi, geisha""]"
tt0020942	1	nm0560787	actor	\N	"[""'Grumpy' Bullivant""]"
tt0020942	7	nm0026639	writer	additional dialogue	\N
tt0020942	9	nm0672928	writer	play	\N
tt0020997	3	nm0398014	actress	\N	"[""Goytia""]"
tt0020997	8	nm0276040	writer	dialogue continuity	\N
tt0021165	10	nm0185055	cinematographer	\N	\N
tt0021165	2	nm0054689	actress	\N	"[""Diana Baring""]"
tt0021165	3	nm0042496	actress	\N	"[""Doucie Markham""]"
tt0021165	4	nm0152361	actor	\N	"[""Ted Markham""]"
tt0021165	6	nm0199304	writer	"from: ""Enter Sir John"""	\N
tt0021165	7	nm0801026	writer	"from: ""Enter Sir John"""	\N
tt0021165	8	nm0616601	writer	adapted by	\N
tt0021226	1	nm1009424	actress	\N	"[""The Baskin baby""]"
tt0021226	4	nm0510383	writer	\N	\N
tt0021226	5	nm0325868	producer	producer	\N
tt0021244	3	nm0916500	writer	\N	\N
tt0021270	1	nm0479656	actor	\N	"[""Gen. Juan Prim""]"
tt0021270	4	nm0273097	actor	\N	"[""Comandante José Alberni""]"
tt0021270	6	nm0013264	writer	story	\N
tt0021270	8	nm0187940	actor	\N	"[""Paul y Angulo""]"
tt0021270	9	nm0904809	actress	\N	"[""Fernanda""]"
tt0021402	2	nm0203685	actress	\N	"[""Camille""]"
tt0021402	5	nm0480046	director	\N	\N
tt0021424	10	nm0104240	actress	\N	"[""Mae Norton""]"
tt0021424	2	nm0357963	actor	\N	"[""Insp. Carr""]"
tt0021424	4	nm0864163	actress	\N	"[""Dolly Demarest""]"
tt0021424	8	nm0005692	cinematographer	\N	\N
tt0021431	1	nm0010442	actress	\N	"[""Marjorie Majoribanks""]"
tt0021431	8	nm2338557	composer	\N	\N
tt0021622	10	nm0432482	cinematographer	\N	\N
tt0021622	4	nm0030653	actor	\N	"[""Professor Max Gottlieb""]"
tt0021622	7	nm0397608	writer	adapted for the screen by	\N
tt0021696	1	nm0657852	actor	\N	"[""Leopold Pichler""]"
tt0021696	3	nm0351930	actress	\N	"[""Hedwig Pichlers-Tochter""]"
tt0021696	7	nm0689017	writer	adaptation	\N
tt0021719	1	nm0695302	director	\N	\N
tt0022075	1	nm0086844	director	\N	\N
tt0022075	2	nm0115811	director	\N	\N
tt0022107	1	nm0255774	actor	\N	"[""Julian Eltinge""]"
tt0022107	2	nm0717292	actress	\N	\N
tt0022107	6	nm0218254	writer	story	\N
tt0022107	7	nm0254463	writer	dialogue	\N
tt0022107	8	nm0663765	writer	story	\N
tt0022107	9	nm1842624	producer	producer	\N
tt0022114	10	nm0111995	writer	contributing writer	\N
tt0022114	7	nm0329136	writer	"play ""The Man Who Came Back"""	\N
tt0022157	2	nm0073169	actress	\N	"[""Madelon Lulu""]"
tt0022157	3	nm0010185	actor	\N	"[""The Captain""]"
tt0022157	5	nm0663613	director	\N	\N
tt0022278	1	nm0287841	actress	\N	"[""Molly Malone""]"
tt0022278	2	nm0201690	actor	\N	"[""Buck Randall""]"
tt0022278	3	nm0335046	actress	\N	"[""Rita Johnson""]"
tt0022291	4	nm0179651	actor	\N	"[""Jeremy Wales""]"
tt0022418	10	nm0829186	actor	\N	"[""Dr. John Watson""]"
tt0022418	1	nm0362361	actor	\N	"[""Dr. Grimesby Rylott""]"
tt0022418	2	nm0557339	actor	\N	"[""Sherlock Holmes""]"
tt0022418	3	nm0045967	actress	\N	"[""Helen Stonor""]"
tt0022418	4	nm0697066	actress	\N	"[""Mrs. Staunton""]"
tt0022418	5	nm0713283	director	\N	\N
tt0022765	10	nm0603435	cinematographer	\N	\N
tt0022765	2	nm0499151	actor	\N	"[""Jacques Le Guérantec""]"
tt0022765	6	nm0720739	writer	novel	\N
tt0022974	2	nm0540096	actress	\N	"[""Helen Barlow""]"
tt0023092	6	nm0427723	writer	screenplay	\N
tt0023092	8	nm0905527	editor	\N	\N
tt0023105	10	nm0828753	actress	\N	"[""Svea Strandin""]"
tt0023218	2	nm0201690	actor	\N	"[""Bert""]"
tt0023218	8	nm0905527	editor	\N	\N
tt0023220	9	nm0140551	writer	adaptation	\N
tt0023222	2	nm0059919	actor	\N	"[""AB Pook""]"
tt0023222	8	nm0455398	writer	play	\N
tt0023289	1	nm0055998	actor	\N	\N
tt0023405	10	nm0822467	actor	\N	"[""Black Mask""]"
tt0023427	1	nm0612847	actor	\N	"[""Tony Camonte""]"
tt0023427	2	nm0245304	actress	\N	"[""Cesca Camonte""]"
tt0023427	3	nm0605904	actress	\N	"[""Poppy""]"
tt0023427	4	nm0674019	actor	\N	"[""Johnny Lovo""]"
tt0023427	6	nm0744514	director	co-director	\N
tt0023427	7	nm0870660	writer	based on the novel by	\N
tt0023505	7	nm0511987	actress	\N	"[""Charlotte""]"
tt0023950	4	nm1922063	actor	\N	"[""Chimpanzee""]"
tt0024020	1	nm0009061	actor	\N	"[""Manager""]"
