tconst	averageRating	numVotes
tt0097498	3.2	1230
tt0097726	4.3	97
tt0097752	7.5	50
tt0097799	7.0	5
tt0097821	6.0	70
tt0097872	6.2	1338
tt0097970	5.9	210
tt0098011	6.8	143
tt0098068	6.2	5331
tt0098465	7.7	851
tt0098469	5.6	361
tt0098605	5.5	15
tt0098712	6.7	17
tt0098805	7.1	44
tt0098908	8.6	81
tt0098929	7.6	10008
tt0098996	4.0	203
tt0099188	6.6	3321
tt0099242	6.4	1634
tt0099311	6.8	187
tt0099355	3.5	31
tt0099394	5.6	60
tt0099765	8.0	76
tt0099840	5.6	8
tt0099855	4.4	34
tt0099982	4.2	233
tt0100297	7.3	13
tt0100303	6.1	2100
tt0100600	6.1	422
tt0100738	6.6	93
tt0100819	7.0	65
tt0101137	6.6	7
tt0101142	7.0	23
tt0101218	6.2	12
tt0101484	7.2	285
tt0101595	6.3	2651
tt0101666	6.3	351
tt0101698	7.3	15152
tt0101775	5.9	24195
tt0101922	6.0	84
tt0102280	7.3	42
tt0102326	4.6	36
tt0102563	6.9	37
tt0102597	5.3	322
tt0102599	4.0	7
tt0102617	6.9	14
tt0102653	7.5	395
tt0102663	4.9	112
tt0102684	7.2	101
tt0102840	7.0	325
tt0103063	5.2	34
tt0103158	4.7	132
tt0103197	6.3	26
tt0103206	4.7	25
tt0103244	7.2	218
tt0103262	7.2	4310
tt0103321	6.4	9
tt0103357	7.7	368
tt0103434	2.8	1047
tt0103526	7.7	27
tt0103659	8.5	10
tt0104370	8.0	41
tt0104483	6.3	185
tt0104521	5.2	704
tt0104665	5.2	57
tt0104673	5.2	221
tt0104825	7.6	103
tt0105119	4.8	50
tt0105151	7.6	47957
tt0105160	6.4	67
tt0105209	5.3	52
tt0105350	8.7	13
tt0105592	5.6	575
tt0105754	7.0	11
tt0105845	7.4	24
tt0106176	7.3	23
tt0106413	3.3	254
tt0106435	5.7	107
tt0106738	6.6	5
tt0106747	8.0	16
tt0106787	4.3	28
tt0106891	6.5	12
tt0106973	5.0	2519
tt0106981	6.0	60
tt0106985	7.1	108
tt0107037	5.7	174
tt0107059	6.4	88
tt0107080	6.1	138
tt0107209	7.3	6652
tt0107273	4.2	134
tt0107291	6.3	64
tt0107391	6.9	15
tt0107517	6.0	55
tt0107553	6.8	278
tt0107590	4.5	66
tt0107607	6.2	309
tt0107662	7.2	244
tt0108047	7.2	78
tt0108105	7.2	71
tt0108185	6.1	17416
tt0108273	6.4	155
tt0108311	5.2	2713
tt0108349	5.5	79
tt0108757	7.7	45116
tt0108906	8.3	15744
tt0108915	6.5	2569
tt0109035	6.6	12201
tt0109501	6.6	209
tt0109548	5.1	59
tt0109761	4.9	605
tt0109809	4.9	1255
tt0109891	4.7	6711
tt0109999	6.4	24
tt0110109	4.9	38
tt0110150	6.6	283
tt0110325	6.4	16
tt0110406	7.0	9
tt0110607	7.1	8
tt0110632	7.3	194926
tt0110650	6.7	78
tt0110756	7.1	28
tt0110869	9.2	5
tt0111003	5.9	7596
tt0111511	7.8	37
tt0111921	7.9	81
tt0112110	7.7	24
tt0112249	5.7	19
tt0112687	6.8	11
tt0113140	2.8	670
tt0113409	7.2	51370
tt0113884	5.0	6
tt0113933	6.2	91
tt0114014	5.7	32
tt0114167	5.4	143
tt0114419	6.7	1230
tt0114592	6.0	453
tt0114729	7.2	112
tt0114758	6.2	28
tt0114780	5.0	161
tt0114798	6.7	2846
tt0114859	6.1	20
tt0114947	7.9	7
tt0115389	7.3	73
tt0115488	6.6	7
tt0115493	5.7	4718
tt0115536	6.7	1456
tt0115650	7.3	3494
tt0115760	6.5	643
tt0115888	6.5	75
tt0116057	4.8	125
tt0116181	6.5	92
tt0116230	7.9	164
tt0116283	7.4	80
tt0116419	7.5	20
tt0116443	7.2	210
tt0116455	6.7	801
tt0116481	7.7	1433
tt0116765	4.5	206
tt0116984	6.8	41
tt0117180	6.8	310
tt0117337	6.8	119
tt0117417	6.6	145
tt0117444	4.4	408
tt0117740	6.9	198
tt0117827	4.6	240
tt0117873	8.4	88
tt0117921	6.3	22
tt0118175	7.7	19
tt0118209	8.7	20
tt0118332	7.8	191
tt0118394	4.6	9
tt0118396	8.2	37
tt0118475	8.1	6355
tt0118729	6.9	32
tt0118744	5.3	8532
tt0118912	3.3	1715
tt0118921	7.5	86
tt0118991	5.4	101
tt0119558	6.9	45068
tt0119612	6.0	8
tt0119769	6.8	386
tt0119834	6.4	99
tt0119966	6.0	6
tt0120118	6.4	2524
tt0120228	5.4	82
tt0120300	5.5	35
tt0120739	5.4	224
tt0120755	6.1	280901
tt0120945	6.2	5
tt0121375	5.4	14
tt0121453	8.8	19
tt0121701	4.0	35
tt0121812	5.0	7
tt0122038	5.7	44
tt0122097	5.1	15
tt0122307	4.4	38
tt0122656	6.0	9
tt0123115	5.9	14
tt0123286	7.8	160
tt0123348	8.0	7
tt0123363	7.3	302
tt0123418	6.3	9
tt0123654	4.5	20
tt0124031	7.3	6
tt0124652	7.6	5
tt0124872	6.4	16
tt0124926	6.3	51
tt0125034	5.0	186
tt0125047	7.9	8
tt0125133	5.3	54
tt0125220	6.9	17
tt0125246	5.6	23
tt0125278	6.0	34
tt0125548	7.6	14
tt0125581	6.2	8
tt0125872	6.0	21
tt0126057	6.2	40
tt0126149	7.3	139
tt0126246	6.2	65
tt0126328	5.9	8
tt0126403	6.8	16
tt0126476	7.0	19
tt0126724	7.8	56
tt0126802	6.6	372
tt0127150	4.0	6
tt0127251	5.4	8
tt0127520	5.9	34
tt0127617	7.7	30
tt0127750	7.7	140
tt0128170	6.9	525
tt0128289	5.5	26
tt0128328	5.2	6
tt0128378	7.1	3609
tt0128592	7.3	18
tt0128896	8.1	53
tt0129166	7.1	8
tt0129514	5.2	6
tt0129598	5.2	138
tt0129701	6.3	47
tt0130030	7.7	10
tt0130430	7.4	60
tt0130898	8.0	56
tt0130979	6.2	24
tt0131250	3.5	8
tt0131405	6.2	24
tt0131978	5.7	39
tt0132137	3.3	85
tt0133010	8.7	117
tt0133209	6.0	23
tt0133517	7.2	10
tt0133597	3.6	8
tt0134246	8.4	50
tt0134869	6.4	14
tt0134966	4.9	9
tt0135081	7.2	46
tt0135896	7.2	12
tt0136209	5.9	15
tt0136620	7.5	6
tt0136652	6.0	50
tt0136694	7.0	1470
tt0137523	8.8	1609900
tt0138124	7.1	16
tt0138321	7.3	26
tt0138638	6.4	157
tt0138664	5.8	50
tt0138881	6.2	5
tt0138903	4.5	51
tt0138946	6.4	17935
tt0139011	5.9	46
tt0139091	4.2	274
tt0139117	6.3	40
tt0139184	7.5	16
tt0139352	5.9	14
tt0139531	7.6	23
tt0139581	5.4	14
tt0139684	5.9	11
tt0139747	5.2	32
tt0140138	7.3	11
tt0140304	6.9	108
tt0140756	6.5	171
tt0140842	4.8	19
tt0141050	6.8	9
tt0141170	6.5	21
tt0141627	6.3	35
tt0141916	4.9	26
tt0141997	6.6	16
tt0142013	5.4	13
tt0142032	7.1	16265
tt0142038	7.7	39
tt0142327	5.3	42
tt0142969	4.4	45
tt0143000	5.7	145
tt0143514	6.0	28
tt0143729	4.8	5
tt0144136	5.3	18
tt0144263	7.9	8
tt0144401	7.3	48
tt0144598	5.0	8
tt0144721	7.0	6
tt0144733	7.1	107
tt0145201	6.2	15
tt0145727	6.3	76
tt0145794	6.0	84
tt0145913	6.3	42
tt0146205	3.9	48
tt0146546	6.8	5
tt0146780	5.1	7
tt0147627	8.1	42
tt0147949	5.6	8
tt0147997	6.7	13
tt0148168	4.8	8
tt0148184	5.4	10
tt0148235	5.8	20
tt0148252	5.0	9
tt0148669	4.1	17
tt0148673	5.9	15
tt0148688	5.2	15
tt0149253	6.1	178
tt0149264	5.3	14
tt0149461	7.2	45
tt0149529	6.1	15
tt0149586	7.7	29
tt0149626	3.8	5
tt0149787	4.9	9
tt0149911	6.0	6
tt0149994	6.7	17
tt0150077	5.3	10
tt0150099	6.8	79
tt0150143	6.8	1178
tt0150295	7.5	16
tt0150725	6.1	21
tt0150748	5.0	5
tt0150835	4.8	8
tt0150846	4.1	10
tt0150958	4.8	19
tt0150990	7.1	53
tt0151191	7.1	93
tt0151376	5.4	24
tt0151658	5.5	245
tt0151721	4.8	5
tt0151832	5.8	12
tt0151881	6.1	23
tt0151961	5.8	5
tt0152180	7.4	9
tt0152323	4.6	7
tt0152356	4.0	5
tt0152675	4.9	23
tt0153204	7.1	14
tt0153420	4.9	11
tt0153484	7.4	66
tt0153541	8.1	10
tt0153783	6.7	7
tt0154023	6.8	152
tt0154027	5.4	37
tt0154232	6.6	65
tt0154735	5.1	51
tt0155020	6.9	21
tt0155531	7.1	7
tt0155588	5.8	106
tt0155655	6.1	14
tt0155739	6.9	7
tt0155806	6.6	42
tt0156023	4.8	76
tt0156649	6.9	34
tt0156748	5.0	5
tt0157232	8.0	189
tt0157248	5.5	35
tt0158528	7.0	6
tt0158720	5.7	15
tt0158893	7.3	41
tt0159028	4.4	7
tt0159317	5.6	19
tt0159651	7.7	6
tt0159677	6.5	112
tt0159971	5.1	16
tt0160423	7.6	390
tt0160926	8.2	5
tt0161109	5.2	111
tt0161408	6.9	8
tt0161457	4.7	18
tt0161661	7.2	5
tt0161767	4.6	163
tt0162004	6.2	6
tt0162205	5.8	5
tt0163016	4.3	260
tt0163351	8.6	5
tt0163579	5.2	8788
tt0163591	6.5	86
tt0163689	5.7	33
tt0163747	3.3	82
tt0164100	4.1	39
tt0164138	6.1	15
tt0164258	7.8	72
tt0164356	7.7	15
tt0164504	7.1	7
tt0165122	4.7	6
tt0165216	5.9	59
tt0165270	5.2	46
tt0165307	8.0	6
tt0165391	4.7	15
tt0165926	6.8	24
tt0166013	6.6	646
tt0166049	8.8	10
tt0166314	6.5	806
tt0166499	7.2	89
tt0166511	6.4	24
tt0166682	6.5	76
tt0167064	6.4	180
tt0167356	4.9	8
tt0167469	7.1	34
tt0167479	7.2	984
tt0167650	6.8	5
tt0167655	6.7	6
tt0167667	7.8	915
tt0167781	6.6	11
tt0167793	4.5	322
tt0167834	5.1	28
tt0167895	8.4	67
tt0167918	6.4	14
tt0168198	6.7	7
tt0168345	5.7	23
tt0168459	6.8	305
tt0168511	8.4	49
tt0168902	6.9	46
tt0169282	7.2	103
tt0169353	7.9	11
tt0169438	7.6	693
tt0169449	8.3	50
tt0169929	7.1	497
tt0169935	7.6	7
tt0170179	6.2	19
tt0170623	6.3	98
tt0170985	8.6	34
tt0171158	6.2	53
tt0171213	7.9	61
tt0172050	7.4	5
tt0173674	8.1	14
tt0173718	6.6	23
tt0173923	7.1	26
tt0173982	8.7	12
tt0174068	1.9	124
tt0174096	5.9	20
tt0174386	7.6	19
tt0174525	6.1	26
tt0174810	6.6	43
tt0174834	8.0	885
tt0174916	7.2	13
tt0174997	6.8	190
tt0175103	6.3	43
tt0175190	6.1	191
tt0175344	8.3	15
tt0175345	7.3	63
tt0175569	7.0	84
tt0176097	4.9	478
tt0176318	8.1	42
tt0176467	3.3	46
tt0176707	8.2	6
tt0177260	7.3	25
tt0177944	5.7	189
tt0178091	5.3	20
tt0178120	6.2	9
tt0178689	4.6	15
tt0179185	7.0	49
tt0179412	5.5	6
tt0179433	6.7	6
tt0180074	6.6	24
tt0180084	7.1	10
tt0180115	6.0	40
tt0180217	7.8	57
tt0180282	6.9	26
tt0180667	6.0	36
tt0180818	6.7	11
tt0181127	7.6	13
tt0181288	7.9	15132
tt0181415	6.4	17
tt0181526	6.4	39
tt0181773	7.9	50
tt0182160	3.8	5
tt0182370	5.6	16
tt0182882	5.9	117
tt0182935	6.8	5
tt0183305	5.2	8
tt0183348	7.2	184
tt0183452	4.0	110
tt0183575	4.6	58
tt0183752	4.9	86
tt0184215	6.3	223
tt0184217	6.1	35
tt0184237	6.4	5
tt0184694	6.8	30
tt0184896	5.8	48
tt0185215	6.4	56
tt0185244	4.8	16
tt0185656	5.5	31
tt0186114	7.0	76
tt0186437	6.8	68
tt0186488	7.6	65
